        Time(hr)      Q(m3/s)   WSE_Avg(meter)
  2.77777778E-02  2.00076586E-01  1.00002043E+00
  5.55555556E-02  2.00074356E-01  1.00002043E+00
  8.33333333E-02  2.00074357E-01  1.00002043E+00
